"temperatura_LPS22HB","humidity","speed_acceleration","pos_3d_acceleration","number_of_satellites","gps_fix","","accelerometer","gyro_accelerometer","angular_velocity","heading","gps_ecef","ecef_velocity","pressure","temperatura_HTS221","time","timeStamp"
36.5,71.09999847,243,2703,7,3,"{""x"":5510,""y"":-4008,""z"":189}","{""x"":640,""y"":359,""z"":-806}","{""x"":5,""y"":-48,""z"":303}","{""x"":399980,""y"":7350,""z"":-7070}","{""x"":178,""y"":-151,""z"":198}","{""x"":400037073,""y"":-436310668,""z"":-237075798}","{""x"":5510,""y"":-4008,""z"":189}",884.3200073,37,335,10755
36.5,71.09999847,243,2703,7,3,"{""x"":5510,""y"":-4008,""z"":189}","{""x"":-241,""y"":-381,""z"":-568}","{""x"":-158,""y"":364,""z"":-405}","{""x"":-45710,""y"":57190,""z"":16870}","{""x"":186,""y"":57,""z"":237}","{""x"":400037073,""y"":-436310668,""z"":-237075798}","{""x"":5510,""y"":-4008,""z"":189}",883.5700073,37,221,10976
36.5,71.09999847,243,2703,7,3,"{""x"":5510,""y"":-4008,""z"":189}","{""x"":-241,""y"":-444,""z"":546}","{""x"":-173,""y"":628,""z"":364}","{""x"":-457310,""y"":-72170,""z"":131180}","{""x"":213,""y"":-105,""z"":210}","{""x"":400037073,""y"":-436310668,""z"":-237075798}","{""x"":5510,""y"":-4008,""z"":189}",881.2399902,37,197,11376
36.5,71.09999847,273,2694,7,3,"{""x"":5398,""y"":-3739,""z"":-53}","{""x"":-97,""y"":328,""z"":-210}","{""x"":62,""y"":-151,""z"":-169}","{""x"":-462840,""y"":185570,""z"":-65310}","{""x"":24,""y"":42,""z"":543}","{""x"":400042029,""y"":-436313911,""z"":-237075497}","{""x"":5398,""y"":-3739,""z"":-53}",884.6900024,37,221,11801
36.5,71.09999847,273,2694,7,3,"{""x"":5398,""y"":-3739,""z"":-53}","{""x"":66,""y"":293,""z"":222}","{""x"":153,""y"":-494,""z"":7}","{""x"":108990,""y"":38150,""z"":30170}","{""x"":-78,""y"":91,""z"":217}","{""x"":400042029,""y"":-436313911,""z"":-237075497}","{""x"":5398,""y"":-3739,""z"":-53}",885.3499756,37,207,12211
36.5,71.09999847,284,2702,6,3,"{""x"":5061,""y"":-3704,""z"":-463}","{""x"":593,""y"":-241,""z"":546}","{""x"":703,""y"":161,""z"":454}","{""x"":35000,""y"":-40180,""z"":23380}","{""x"":-66,""y"":138,""z"":360}","{""x"":400046910,""y"":-436317311,""z"":-237075750}","{""x"":5061,""y"":-3704,""z"":-463}",885.5800171,37,210,12614
36.5,71.09999847,284,2702,6,3,"{""x"":5061,""y"":-3704,""z"":-463}","{""x"":659,""y"":410,""z"":-73}","{""x"":756,""y"":-421,""z"":67}","{""x"":2310,""y"":-32480,""z"":-280}","{""x"":-84,""y"":126,""z"":442}","{""x"":400046910,""y"":-436317311,""z"":-237075750}","{""x"":5061,""y"":-3704,""z"":-463}",886.3800049,37,209,13025
36.5,71.09999847,284,2702,6,3,"{""x"":5061,""y"":-3704,""z"":-463}","{""x"":706,""y"":230,""z"":546}","{""x"":839,""y"":-342,""z"":376}","{""x"":-74760,""y"":-63700,""z"":-76650}","{""x"":15,""y"":171,""z"":376}","{""x"":400046910,""y"":-436317311,""z"":-237075750}","{""x"":5061,""y"":-3704,""z"":-463}",887.1500244,37,198,13426
36.5,71.09999847,300,2729,6,3,"{""x"":4910,""y"":-3505,""z"":-884}","{""x"":741,""y"":-401,""z"":-432}","{""x"":903,""y"":293,""z"":-412}","{""x"":37380,""y"":1260,""z"":10290}","{""x"":102,""y"":160,""z"":370}","{""x"":400051630,""y"":-436320534,""z"":-237076437}","{""x"":4910,""y"":-3505,""z"":-884}",888.0300293,37,193,13823
36.5,71.09999847,300,2729,6,3,"{""x"":4910,""y"":-3505,""z"":-884}","{""x"":1041,""y"":137,""z"":62}","{""x"":1091,""y"":-177,""z"":100}","{""x"":-21420,""y"":36260,""z"":4480}","{""x"":52,""y"":160,""z"":406}","{""x"":400051630,""y"":-436320534,""z"":-237076437}","{""x"":4910,""y"":-3505,""z"":-884}",888.7700195,37,218,14244
36.5,71.09999847,308,2768,6,3,"{""x"":4051,""y"":-3691,""z"":-1746}","{""x"":796,""y"":-182,""z"":-292}","{""x"":898,""y"":180,""z"":-144}","{""x"":-16730,""y"":-23660,""z"":-28140}","{""x"":102,""y"":159,""z"":361}","{""x"":400055521,""y"":-436323766,""z"":-237077830}","{""x"":4051,""y"":-3691,""z"":-1746}",889.5100098,37,210,14647
36.5,71.09999847,308,2768,6,3,"{""x"":4051,""y"":-3691,""z"":-1746}","{""x"":846,""y"":-159,""z"":-112}","{""x"":938,""y"":92,""z"":-45}","{""x"":-13650,""y"":10500,""z"":16100}","{""x"":109,""y"":153,""z"":336}","{""x"":400055521,""y"":-436323766,""z"":-237077830}","{""x"":4051,""y"":-3691,""z"":-1746}",890.460022,37,208,15058
