Preamble,Status,w1,w2,w3,a1,a2,a3,Pressure,Temperature,GPS Fix,Latitude,Longitude,Elevation,Speed,Number of Satellites,UTC Time,UTC Date,Timestamp
JUPITER,0,-11.778250694274902,39.24470520019531,-139.755859375,-0.16314697265625,-1.6851806640625,-0.980712890625,84786.6171875,31.329999923706055,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204532,180224,654431
JUPITER,0,-16.867055892944336,32.04255676269531,-140.77056884765625,-0.20428466796875,-1.6268310546875,-1.1134033203125,84769.65625,31.360000610351562,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204532,180224,654431
JUPITER,0,-11.373892784118652,13.915114402770996,-141.2664794921875,-0.97991943359375,-1.6470947265625,-1.5567626953125,84418.8046875,31.309999465942383,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204532,180224,654431
JUPITER,0,-32.78960418701172,-5.997605800628662,-116.38703155517578,-1.47747802734375,-1.4490966796875,-1.0196533203125,84416.625,33.11000061035156,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204532,180224,654678
JUPITER,0,-89.10979461669922,-16.21336555480957,-26.3067684173584,-0.84722900390625,-1.329833984375,-1.367919921875,84703.1171875,31.170000076293945,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204532,180224,654678
JUPITER,0,-86.05803680419922,-22.62205696105957,-24.1247615814209,-0.83856201171875,-1.32958984375,-1.13330078125,84697.5,31.170000076293945,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204532,180224,654678
JUPITER,0,-90.55175018310547,-20.95121955871582,-23.6975154876709,-0.77740478515625,-1.3372802734375,-1.2626953125,84727.625,31.190000534057617,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204533,180224,654678
JUPITER,0,-88.65203094482422,-28.42039680480957,-22.2631893157959,-0.78021240234375,-1.3165283203125,-1.4237060546875,84700.234375,31.190000534057617,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204533,180224,654678
JUPITER,0,-91.84111785888672,-27.03184700012207,-21.6680965423584,-0.91595458984375,-1.323974609375,-1.1339111328125,84711.453125,31.190000534057617,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204533,180224,654678
JUPITER,0,-93.61113739013672,-40.89445495605469,-10.719915390014648,-0.72955322265625,-1.3353271484375,-1.2734375,84724.7109375,31.209999084472656,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204533,180224,654678
JUPITER,0,-98.61602020263672,-51.60612487792969,-5.219122409820557,-0.67425537109375,-1.3616943359375,-1.2579345703125,84957.4375,33.09000015258789,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204533,180224,654897
JUPITER,0,-22.650136947631836,-157.7920379638672,108.18419647216797,-0.23773193359375,-1.473388671875,-0.61181640625,84863.09375,31.190000534057617,0,-21.963903427124023,-47.485626220703125,659.7999877929688,39.0880012512207,0,204533,180224,654897
JUPITER,0,-7.276907920837402,-169.04539489746094,110.55693817138672,-0.19378662109375,-1.460693359375,-0.6187744140625,84859.5,31.209999084472656,0,-21.963903427124023,-47.485626220703125,659.7999877929688,37.209999084472656,0,204533,180224,654897
JUPITER,0,25.193796157836914,-198.2430877685547,112.65502166748047,0.02142333984375,-1.499267578125,-0.68798828125,84817.375,31.209999084472656,1,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204534,180224,654897
JUPITER,0,46.72394561767578,-209.0615692138672,106.46758270263672,-0.10137939453125,-1.509521484375,-0.652587890625,84939.828125,32.52000045776367,1,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204534,180224,655097
JUPITER,0,58.18329620361328,-199.42564392089844,-86.91468048095703,-0.17059326171875,-1.3336181640625,-1.3870849609375,84666.6171875,31.170000076293945,1,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204534,180224,655097
JUPITER,0,56.09284210205078,-195.9847869873047,-87.40296173095703,-0.17779541015625,-1.34521484375,-1.3634033203125,84651.921875,31.170000076293945,1,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204534,180224,655097
JUPITER,0,29.626474380493164,-171.4181365966797,-92.25525665283203,-0.33782958984375,-1.297607421875,-1.24169921875,84707.390625,31.15999984741211,1,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204534,180224,655097
JUPITER,0,27.650461196899414,-171.2655487060547,-91.81275177001953,-0.35430908203125,-1.290283203125,-1.2083740234375,84710.890625,31.170000076293945,1,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204534,180224,655097
JUPITER,0,-3.8589389324188232,-149.2776336669922,-88.28797149658203,-0.38714599609375,-1.2525634765625,-1.0753173828125,84955.1328125,32.9900016784668,1,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204534,180224,655304
JUPITER,0,-38.15306854248047,-187.63059997558594,21.36931800842285,-0.33135986328125,-1.0775146484375,-0.5445556640625,84893.578125,31.1299991607666,1,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204534,180224,655304
JUPITER,0,-36.78740692138672,-187.9128875732422,23.45977210998535,-0.29693603515625,-1.0867919921875,-0.5528564453125,84886.484375,31.139999389648438,1,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204534,180224,655304
JUPITER,0,-35.65825653076172,-190.14830017089844,24.61944007873535,-0.21795654296875,-1.094970703125,-0.5595703125,84890.6640625,31.149999618530273,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204535,180224,655304
JUPITER,0,-33.40758514404297,-189.81260681152344,24.7491397857666,-0.06866455078125,-1.08642578125,-0.4234619140625,84891.34375,31.149999618530273,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204535,180224,655304
JUPITER,0,1.4816372394561768,-221.4822235107422,36.57469940185547,0.06573486328125,-1.057861328125,-0.4827880859375,84857.65625,31.149999618530273,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204535,180224,655304
JUPITER,0,3.5644619464874268,-222.95469665527344,36.29241180419922,0.10821533203125,-1.0556640625,-0.4708251953125,84846.421875,31.149999618530273,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204535,180224,655304
JUPITER,0,5.921944618225098,-225.44187927246094,35.33110809326172,0.15313720703125,-1.064208984375,-0.48291015625,84835.1875,31.149999618530273,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204535,180224,655304
JUPITER,0,7.371529579162598,-226.58628845214844,34.85808563232422,0.18255615234375,-1.05078125,-0.5406494140625,85086.6171875,33.02000045776367,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204535,180224,655509
JUPITER,0,5.525216102600098,-251.64122009277344,-55.44342803955078,0.32720947265625,-1.0750732421875,-0.9986572265625,84820.390625,31.170000076293945,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204535,180224,655509
JUPITER,0,3.8848965167999268,-251.64122009277344,-55.96985626220703,0.24957275390625,-1.0797119140625,-0.996337890625,84810.5,31.18000030517578,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204535,180224,655509
JUPITER,0,-4.293814659118652,-251.64122009277344,-57.31262969970703,0.28741455078125,-1.0789794921875,-1.15576171875,84795.703125,31.190000534057617,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,4,204536,180224,655509
JUPITER,0,-7.032767295837402,-251.64122009277344,-57.25159454345703,0.21148681640625,-1.0946044921875,-1.0943603515625,84783.78125,31.190000534057617,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,4,204536,180224,655509
JUPITER,0,-15.409842491149902,-251.64122009277344,-57.51099395751953,0.30987548828125,-1.09765625,-1.1221923828125,84771.109375,31.200000762939453,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,4,204536,180224,655509
JUPITER,0,-33.34654998779297,-242.2799530029297,-53.96332550048828,0.15472412109375,-1.1304931640625,-1.251953125,84747.171875,31.209999084472656,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,4,204536,180224,655509
JUPITER,0,-52.55736541748047,-209.1836395263672,-39.66584014892578,-0.09185791015625,-1.1495361328125,-1.360107421875,84995.015625,33.029998779296875,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,4,204536,180224,655747
JUPITER,0,-127.37120819091797,126.16639709472656,-1.770635962486267,-0.40679931640625,-1.623291015625,-1.52734375,84811.1875,31.18000030517578,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,4,204536,180224,655747
JUPITER,0,-128.63768005371094,132.66664123535156,-3.6169495582580566,-0.01812744140625,-1.6134033203125,-1.6346435546875,84786.59375,31.190000534057617,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,4,204536,180224,655747
JUPITER,0,-127.36357879638672,248.3511505126953,-47.69196319580078,0.00823974609375,-1.727783203125,-1.43212890625,84856.796875,31.190000534057617,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,4,204536,180224,655747
JUPITER,0,-127.32543182373047,248.3511505126953,-51.38459014892578,-0.07867431640625,-1.7332763671875,-1.3958740234375,84849.734375,31.200000762939453,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,4,204536,180224,655747
JUPITER,0,-94.54192352294922,248.3511505126953,-98.34351348876953,0.11676025390625,-1.7130126953125,-1.1966552734375,85138.84375,32.9900016784668,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,4,204536,180224,655959
JUPITER,0,116.75415802001953,164.28285217285156,2.6467833518981934,-0.02886962890625,-1.4659423828125,-0.8006591796875,85040.265625,31.1299991607666,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,4,204536,180224,655959
JUPITER,0,118.34870147705078,161.2845001220703,5.324700832366943,0.01202392578125,-1.4517822265625,-0.967041015625,85044.515625,31.1200008392334,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204537,180224,655959
JUPITER,0,118.08167266845703,158.48451232910156,8.445123672485352,-0.03289794921875,-1.4490966796875,-0.964599609375,85040.921875,31.139999389648438,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204537,180224,655959
JUPITER,0,117.31110382080078,157.4698028564453,11.168817520141602,0.00811767578125,-1.4508056640625,-0.9002685546875,85047.2265625,31.139999389648438,0,-21.963903427124023,-47.485626220703125,665.0999755859375,37.209999084472656,3,204537,180224,655959
